Sample	Cluster	Is_Outlier	Is_Representative	Mean_Distance
Reference	2	False	True	13.342857142857143
YPER-4_H1	1	False	True	13.8
YPER-4_H2	1	False	False	13.8
YPER-3_H1	1	False	False	13.971428571428572
YPER-3_H2	1	False	False	13.8
YPER-1_H1	1	False	False	13.8
YPER-1_H2	1	False	False	14.857142857142858
SRS-1_H1	7	False	True	11.0
SRS-1_H2	7	False	False	11.0
TypeD-1_H1	3	False	True	12.342857142857143
TypeD-1_H2	2	False	False	13.342857142857143
SRS-2_H1	2	False	False	13.342857142857143
SRS-2_H2	2	False	False	13.342857142857143
TypeD-4_H1	3	False	False	12.342857142857143
TypeD-4_H2	2	False	False	13.342857142857143
SRS-3_H1	2	False	False	13.342857142857143
SRS-3_H2	7	False	False	11.0
YPER-2_H1	1	False	False	13.8
YPER-2_H2	1	False	False	14.857142857142858
SRS-4_H1	7	False	False	11.0
SRS-4_H2	7	False	False	11.0
Takatsuki-2_H1	5	False	True	13.2
Takatsuki-2_H2	1	False	False	13.8
TypeD-2_H1	2	False	False	13.342857142857143
TypeD-2_H2	2	False	False	13.342857142857143
Takatsuki-3_H1	1	False	False	15.314285714285715
Takatsuki-3_H2	6	False	True	14.0
TypeD-3_H1	3	False	False	12.342857142857143
TypeD-3_H2	3	False	False	12.342857142857143
Takatsuki-4_H1	4	False	True	14.914285714285715
Takatsuki-4_H2	4	False	False	15.857142857142858
Tyubo-1_H1	8	False	True	14.457142857142857
Tyubo-1_H2	9	False	True	13.657142857142857
Tyubo-2_H1	8	False	False	14.457142857142857
Tyubo-2_H2	1	False	False	13.8
